Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1984,,,,,,,,,,,,100
1986,101.3,99.9,98.3,97.9,98.2,98.2,97.5,97.4,97.6,98.2,98.3,98.3
1987,99.1,99.5,99.5,100.2,100.6,100.9,101.3,101.6,101.3,102,102.2,102.1
1988,102.4,102.6,102.8,103.4,103.9,104.3,104.9,105.1,105.1,105.6,106.1,106.4
1989,107.5,107.9,108.5,109.4,110.1,110.1,109.9,109.6,109.9,110.8,110.8,111
1990,112.7,112.2,112.3,112.6,113.1,113.1,113.2,114.6,116.2,118.1,118.2,117.2
1991,116.9,116.2,115.3,115.4,115.6,115.6,115.4,115.7,115.7,116.4,116.5,116
1992,115.9,116.3,116.4,116.9,117.6,117.9,117.8,117.6,117.6,118.3,118.2,117.9
1993,118.4,118.9,119.3,119.7,119.8,119.5,119.3,118.6,118.4,119.4,119.3,118.8
1994,119.3,119.8,119.9,120.1,120.4,120.4,120.9,121.5,121.1,121.5,121.9,121.7
1995,122.6,123.1,123.4,124.1,124.5,124.4,124.4,124.4,124.3,125.1,125.1,125.3
1996,125.8,125.7,126,126.8,127.4,127.1,127.1,127.4,127.5,128.2,128,128
1997,128.1,127.9,127.8,127.7,127.6,127.2,126.9,127.4,127.3,127.6,127.5,127
1998,126.4,126.1,125.9,126.2,126.4,126.2,126.2,126,125.9,126.4,126.2,125.9
1999,126.2,125.9,126.3,127.4,127.7,127.8,128.3,129,129.7,130.2,130.3,130.5
2000,130.8,132.2,132.9,132.6,133.1,134.2,133.9,133.5,134.7,134.9,134.9,134.3
2001,134.8,134.8,134.5,135.6,136.5,135.8,134.4,134.6,135.6,133.7,132.7,131.6
2002,131.7,132,132.8,133.8,133.5,133.6,133.6,133.7,135,135.6,134.6,134
2003,135.7,137.6,138.7,136.3,135.8,136.3,136.4,137,137.1,138.2,137.7,137.7
2004,138.9,139.3,140.3,141.8,143.3,142.9,143.2,143.7,144.2,146.5,146.1,145
2005,146.2,147,148.9,149.6,149.4,149.6,151,151.8,154.2,156.6,152.7,152.8
2006,154.1,153.5,155,157.2,158.5,159.5,159.4,159.8,156.8,155.9,156.4,156.9
2007,156.4,157.7,160.1,162.2,163.8,163.7,164.9,163,163.7,164.5,168,166.9
2008,168.5,169.6,173.4,175.3,179.4,182,185.6,182.6,182.9,176.8,169.4,164.1
2009,164.7,163.9,162.9,164.2,165.8,168.4,167.1,169.4,168.6,168.9,170.7,170.8
2010,173.1,172.2,173.9,175.2,176.1,174.8,174.7,175.3,175.5,177.3,178.2,179.1
2011,181.1,183.3,187.3,190.2,191.9,191.1,191.7,190.7,191.5,190.2,190.6,189.6
2012,191.1,192.1,194.3,194.7,193.6,191.7,191.2,193.5,195.4,195.1,192.6,191.8
2013,192.6,195.2,194.5,194,194,193.9,194,194.6,194.3,193.7,192.7,193.2
2014,194.2,195.2,196.2,197.5,197.2,197.2,197.4,197.4,196.8,194.8,192.7,189.1
2015,185,185.4,186.2,185.7,188.2,188.9,188.5,187,184.3,183.7,182.9,180.8
2016,179.7,178.7,179.3,180.5,181.9,183.6,183.4,182.5,183,183.7,183.2,183.9
2017,185.6,186.2,186.7,187.6,187.3,187.6,187.3,188.4,189.6,190.2,191.2,191.3
2018,192.6,193.5,194,195.3,197.7,198.4,198.5,198.6,198.9,200.4,198.4,195.2
2019,194.3,195.4,197.4,199.2,199.1,197,197.5,196.4,195.9,196.6,196.5,196.4
2020,196.6,195.1,192.3,186.1,188.9,190.2,192.3,193,192.9,193.7,194.5,196.7
2021,199.6,203.1,207.9,210.1,215.1,217.9,219.492,220.114,221.869,225.478,227.109,226.47
2022,231.495,237.245,245.404,249.56,256.396,262.418,256.526,251.494,251.891,254.03,252.905,245.115
2023,249.178,249.308,248.98,248.583,246.206,245.784,245.434,251.093,252.368,249.119,246.497,243.266
2024,244.056,248.295,249.516,251.384,248.713,247.445,249.727,,,,,
